,0
0,-0.06673667366736673
1,-0.14824482448244825
2,-0.19294929492949295
3,-0.2734173417341734
4,-0.3832083208320832
5,-0.42909290929092914
6,-0.6035103510351035
7,-0.6227122712271227
8,-0.7185018501850184
9,-0.8240124012401241
10,-0.9452045204520452
11,-1.029252925292529
12,-1.1492049204920494
13,-1.192089208920892
14,-1.313921392139214
15,-1.4124112411241125
16,-1.5033003300330035
17,-1.5412241224122412
18,-1.7076207620762076
19,-1.843834383438344
20,-1.861136113611361
21,-1.935083508350835
22,-2.0809380938093804
23,-2.110881088108811
24,-2.213891389138914
25,-2.331743174317432
26,-2.371507150715071
27,-2.535603560356036
28,-2.5485448544854483
29,-2.647694769476948
30,-2.7629262926292633
31,-2.8686768676867684
32,-2.9145414541454144
33,-3.0716971697169715
34,-3.138643864386439
35,-3.201970197019702
36,-3.3117411741174116
37,-3.3782278227822777
38,-3.397149714971497
39,-3.558965896589659
40,-3.606270627062706
41,-3.6939593959395944
42,-3.857875787578758
43,-3.776107610761076
44,-3.896219621962196
45,-4.011891189118912
46,-4.114581458145815
47,-4.196429642964296
48,-4.263956395639563
49,-4.383648364836484
50,-4.3719871987198715
51,-4.442234223422342
52,-4.486238623862386
53,-4.622372237223722
54,-4.718481848184818
55,-4.743984398439844
56,-4.774167416741674
57,-4.896499649964996
58,-4.891119111911191
59,-5.021392139213921
60,-5.0488348834883485
61,-5.086878687868787
62,-5.173027302730273
63,-5.2612361236123615
64,-5.356845684568457
65,-5.341604160416042
66,-5.491059105910591
67,-5.577807780778078
68,-5.577587758775878
69,-5.745084508450845
70,-5.769766976697669
71,-5.864156415641563
72,-5.903680368036804
73,-5.852415241524152
74,-5.933563356335634
75,-6.02977297729773
76,-6.14000400040004
77,-6.1097609760976095
78,-6.1997899789979
79,-6.246994699469947
80,-6.288998899889989
81,-6.198209820982099
82,-6.412371237123712
83,-6.425472547254725
84,-6.47069706970697
85,-6.576367636763678
86,-6.701980198019802
87,-6.64041404140414
88,-6.671597159715972
89,-6.754645464546455
90,-6.694899489948995
91,-6.8414541454145406
92,-6.915381538153815
93,-6.904740474047405
94,-6.925362536253625
95,-6.974047404740475
96,-7.085778577857785
97,-7.052175217521752
98,-7.195169516951696
99,-7.061996199619962
100,-7.257995799579957
101,-7.3948694869486955
102,-7.2996199619962
103,-7.380228022802281
104,-7.397309730973097
105,-7.4227522752275235
106,-7.411471147114712
107,-7.4000500050005
108,-7.532363236323633
109,-7.619371937193719
110,-7.610211021102112
111,-7.580368036803681
112,-7.720082008200819
113,-7.67975797579758
114,-7.799749974997499
115,-7.661576157615761
116,-7.78980898089809
117,-7.946324632463245
118,-7.768566856685669
119,-7.76078607860786
120,-7.900520052005201
121,-7.937483748374838
122,-7.9252625262526255
123,-7.962966296629664
124,-7.923942394239424
125,-8.081738173817381
126,-8.024132413241324
127,-8.070217021702172
128,-8.076037603760376
129,-8.054415441544155
130,-8.104420442044205
131,-8.070417041704172
132,-8.285618561856186
133,-8.306900690069007
134,-8.254395439543954
135,-8.260556055605559
136,-8.302760276027602
137,-8.363206320632063
138,-8.367946794679467
139,-8.276177617761777
140,-8.295319531953194
141,-8.366686668666867
142,-8.44167416741674
143,-8.556665666566659
144,-8.41905190519052
145,-8.433293329332932
146,-8.51922192219222
147,-8.517521752175217
148,-8.497359735973598
149,-8.632213221322132
150,-8.521582158215821
151,-8.466436643664366
152,-8.708420842084209
153,-8.646054605460547
154,-8.613451345134512
155,-8.544144414441444
156,-8.687538753875389
157,-8.709480948094809
158,-8.808690869086908
159,-8.637693769376938
160,-8.614691469146916
161,-8.696019601960197
162,-8.749244924492448
163,-8.760006000600061
164,-8.767346734673467
165,-8.792329232923292
166,-8.907400740074007
167,-8.653215321532153
168,-8.92992299229923
169,-8.816091609160917
170,-8.714441444144416
171,-8.873817381738174
172,-8.92032203220322
173,-8.71920192019202
174,-8.92922292229223
175,-8.911021102110212
176,-8.924702470247023
177,-8.785348534853485
178,-8.835373537353735
179,-8.911841184118412
180,-8.911921192119213
181,-8.782808280828082
182,-8.861736173617363
183,-8.992549254925493
184,-8.88121812181218
185,-8.913641364136414
186,-9.020132013201321
187,-8.995089508950894
188,-9.006250625062506
189,-8.992709270927094
190,-9.03167316731673
191,-8.912661266126614
192,-8.953145314531453
193,-8.98982898289829
194,-9.031473147314733
195,-8.941524152415242
196,-8.982048204820483
197,-9.062916291629163
198,-9.099119911991199
199,-8.944984498449845
