,0
0,3.0
1,-7.0
2,-1.0
3,-3.0
4,-3.0
5,-7.0
6,5.0
7,-1.0
8,11.0
9,3.0
10,-7.0
11,1.0
12,-5.0
13,-19.0
14,-15.0
15,-1.0
16,-5.0
17,-19.0
18,-17.0
19,-5.0
20,-15.0
21,3.0
22,-27.0
23,-27.0
24,-15.0
25,-9.0
26,-13.0
27,-13.0
28,1.0
29,-21.0
30,-21.0
31,-21.0
32,-13.0
33,-15.0
34,-13.0
35,-15.0
36,-31.0
37,-27.0
38,-27.0
39,-19.0
40,-31.0
41,-31.0
42,-27.0
43,-19.0
44,-33.0
45,-39.0
46,-23.0
47,-39.0
48,-39.0
49,-39.0
50,-33.0
51,-29.0
52,-33.0
53,-39.0
54,-29.0
55,-35.0
56,-39.0
57,-33.0
58,-33.0
59,-39.0
60,-39.0
61,-35.0
62,-39.0
63,-35.0
64,-39.0
65,-39.0
66,-21.0
67,-39.0
68,-35.0
69,-35.0
70,-29.0
71,-39.0
72,-39.0
73,-39.0
74,-39.0
75,-39.0
76,-39.0
77,-33.0
78,-39.0
79,-39.0
80,-39.0
81,-29.0
82,-29.0
83,-39.0
84,-27.0
85,-33.0
86,-39.0
87,-39.0
88,-35.0
89,-39.0
90,-39.0
91,-39.0
92,-39.0
93,-39.0
94,-31.0
95,-39.0
96,-39.0
97,-39.0
98,-39.0
99,-39.0
100,-39.0
101,-39.0
102,-39.0
103,-39.0
104,-39.0
105,-39.0
106,-39.0
107,-39.0
108,-39.0
109,-39.0
110,-33.0
111,-39.0
112,-39.0
113,-33.0
114,-39.0
115,-39.0
116,-39.0
117,-39.0
118,-39.0
119,-39.0
120,-39.0
121,-39.0
122,-39.0
123,-39.0
124,-39.0
125,-39.0
126,-39.0
127,-39.0
128,-39.0
129,-39.0
130,-33.0
131,-39.0
132,-39.0
133,-39.0
134,-39.0
135,-39.0
136,-39.0
137,-39.0
138,-39.0
139,-39.0
140,-39.0
141,-39.0
142,-39.0
143,-39.0
144,-39.0
145,-39.0
146,-39.0
147,-39.0
148,-39.0
149,-39.0
150,-39.0
151,-39.0
152,-39.0
153,-39.0
154,-39.0
155,-39.0
156,-39.0
157,-39.0
158,-39.0
159,-39.0
160,-39.0
161,-39.0
162,-39.0
163,-39.0
164,-39.0
165,-39.0
166,-39.0
167,-39.0
168,-39.0
169,-39.0
170,-39.0
171,-39.0
172,-39.0
173,-39.0
174,-39.0
175,-39.0
176,-39.0
177,-39.0
178,-39.0
179,-39.0
180,-39.0
181,-39.0
182,-39.0
183,-39.0
184,-39.0
185,-39.0
186,-39.0
187,-39.0
188,-39.0
189,-39.0
190,-39.0
191,-39.0
192,-39.0
193,-39.0
194,-39.0
195,-39.0
196,-39.0
197,-39.0
198,-39.0
199,-39.0
