,0
0,-50.77477477477478
1,-39.731731731731735
2,-47.351351351351354
3,-51.371371371371374
4,-65.66966966966967
5,-59.171171171171174
6,-65.8098098098098
7,-66.25425425425425
8,-67.94794794794795
9,-63.57957957957958
10,-68.09609609609609
11,-67.13113113113113
12,-79.50350350350351
13,-69.09709709709709
14,-67.88788788788789
15,-69.16516516516516
16,-68.72072072072072
17,-83.04304304304304
18,-85.6096096096096
19,-103.07907907907908
20,-95.82782782782783
21,-100.52452452452452
22,-103.37137137137137
23,-95.67567567567568
24,-114.15815815815816
25,-91.18718718718719
26,-109.67367367367368
27,-112.98498498498499
28,-124.88488488488488
29,-115.23523523523524
30,-128.4044044044044
31,-110.51451451451452
32,-131.4834834834835
33,-117.10110110110111
34,-132.45245245245246
35,-118.68268268268268
36,-142.97497497497497
37,-128.58858858858858
38,-134.1061061061061
39,-165.51751751751752
40,-136.56456456456456
41,-132.25625625625625
42,-149.4814814814815
43,-142.93093093093094
44,-138.72672672672672
45,-150.47447447447448
46,-144.6926926926927
47,-162.47447447447448
48,-147.37537537537537
49,-144.24824824824825
50,-152.75675675675674
51,-166.19419419419418
52,-132.6966966966967
53,-164.97697697697697
54,-154.85085085085086
55,-168.17617617617617
56,-164.58058058058057
57,-160.1121121121121
58,-169.46546546546546
59,-145.36536536536536
60,-177.40940940940942
61,-171.8838838838839
62,-171.05905905905905
63,-190.9149149149149
64,-174.82682682682682
65,-174.1101101101101
66,-178.3103103103103
67,-173.2212212212212
68,-198.35035035035034
69,-186.13813813813815
70,-187.62762762762762
71,-201.84584584584584
72,-174.93893893893895
73,-192.8208208208208
74,-208.03203203203202
75,-171.7077077077077
76,-188.04004004004005
77,-199.0990990990991
78,-196.37637637637638
79,-208.4084084084084
80,-195.33533533533534
81,-188.12012012012013
82,-212.76476476476478
83,-199.92792792792793
84,-189.92192192192192
85,-174.86286286286287
86,-193.3173173173173
87,-218.17017017017017
88,-199.52352352352352
89,-209.40540540540542
90,-212.37637637637638
91,-215.64764764764766
92,-217.42542542542543
93,-196.31231231231232
94,-218.8108108108108
95,-193.80980980980982
96,-210.47047047047047
97,-214.96696696696696
98,-207.3113113113113
99,-213.80180180180182
100,-203.2072072072072
101,-224.16416416416416
102,-231.04304304304304
103,-212.52852852852854
104,-217.01701701701703
105,-211.62762762762762
106,-216.06806806806807
107,-221.1011011011011
108,-218.6986986986987
109,-221.82982982982983
110,-238.14214214214215
111,-238.05805805805807
112,-219.24724724724726
113,-228.02002002002
114,-237.01301301301302
115,-232.8968968968969
116,-231.0830830830831
117,-224.34434434434434
118,-235.75175175175175
119,-233.2052052052052
120,-238.35835835835834
121,-236.67267267267266
122,-233.97397397397398
123,-234.87487487487488
124,-235.55555555555554
125,-252.67667667667666
126,-227.96796796796798
127,-232.06806806806807
128,-227.2072072072072
129,-240.25625625625625
130,-248.88088088088088
131,-232.71671671671672
132,-250.03003003003002
133,-246.06206206206207
134,-234.46246246246247
135,-247.91991991991992
136,-240.32832832832833
137,-259.44344344344347
138,-266.8748748748749
139,-259.7197197197197
140,-249.2892892892893
141,-249.8858858858859
142,-245.00100100100101
143,-237.35735735735736
144,-249.53753753753753
145,-252.26426426426426
146,-256.3043043043043
147,-250.24624624624624
148,-244.21221221221222
149,-248.62462462462463
150,-257.6016016016016
151,-262.0820820820821
152,-264.92092092092093
153,-247.7117117117117
154,-253.26926926926927
155,-247.983983983984
156,-259.7997997997998
157,-269.22122122122124
158,-259.4834834834835
159,-249.2932932932933
160,-258.4424424424424
161,-249.64964964964966
162,-252.43243243243242
163,-253.66566566566567
164,-255.35535535535536
165,-262.86686686686687
166,-257.98598598598596
167,-249.68168168168168
168,-266.54654654654655
169,-262.79479479479477
170,-258.6826826826827
171,-273.3533533533533
172,-267.85185185185185
173,-254.5145145145145
174,-255.42742742742743
175,-262.9149149149149
176,-268.72872872872875
177,-267.4754754754755
178,-266.3623623623624
179,-252.46046046046047
180,-261.14914914914914
181,-253.35335335335336
182,-254.002002002002
183,-275.011011011011
184,-262.7187187187187
185,-264.2802802802803
186,-270.6026026026026
187,-272.6046046046046
188,-267.54354354354354
189,-270.1781781781782
190,-264.0840840840841
191,-263.75575575575573
192,-276.4804804804805
193,-255.51951951951952
194,-254.75075075075074
195,-274.1301301301301
196,-270.33033033033036
197,-270.6346346346346
198,-277.3973973973974
199,-266.7107107107107
200,-266.3023023023023
201,-266.32232232232235
202,-271.59559559559557
203,-257.3773773773774
204,-275.983983983984
205,-261.14514514514514
206,-275.08708708708707
207,-266.6666666666667
208,-264.24024024024027
209,-277.3053053053053
210,-268.3243243243243
211,-279.03103103103103
212,-269.67767767767765
213,-267.4394394394394
214,-272.85685685685684
215,-271.05905905905905
216,-274.6666666666667
217,-270.01801801801804
218,-282.0740740740741
219,-280.84484484484483
220,-286.6666666666667
221,-270.86286286286287
222,-272.75275275275277
223,-266.9189189189189
224,-270.6746746746747
225,-273.35735735735733
226,-270.6666666666667
227,-271.85185185185185
228,-278.6226226226226
229,-277.76176176176176
230,-262.4264264264264
231,-276.3283283283283
232,-285.8898898898899
233,-287.3873873873874
234,-287.4234234234234
235,-275.4194194194194
236,-271.2392392392392
237,-272.66066066066065
238,-274.00600600600603
239,-278.23423423423424
240,-279.95995995996
241,-272.66866866866866
242,-279.983983983984
243,-279.59159159159157
244,-275.58758758758756
245,-287.7117117117117
246,-281.1171171171171
247,-268.91691691691693
248,-274.7027027027027
249,-275.1071071071071
250,-268.05205205205203
251,-281.8338338338338
252,-279.971971971972
253,-277.5095095095095
254,-289.2892892892893
255,-268.044044044044
256,-270.998998998999
257,-278.6666666666667
258,-281.94594594594594
259,-275.5035035035035
260,-283.04304304304304
261,-265.99399399399397
262,-286.978978978979
263,-282.46246246246244
264,-280.036036036036
265,-284.41641641641644
266,-284.41641641641644
267,-268.5205205205205
268,-279.58358358358356
269,-274.04604604604606
270,-280.34034034034033
271,-290.33833833833836
272,-283.1951951951952
273,-285.18518518518516
274,-282.8708708708709
275,-275.5075075075075
276,-273.54954954954957
277,-275.7997997997998
278,-274.7027027027027
279,-279.4354354354354
280,-289.3853853853854
281,-289.66566566566564
282,-272.2042042042042
283,-284.1001001001001
284,-276.05605605605604
285,-293.8658658658659
286,-282.81481481481484
287,-294.4384384384384
288,-284.8008008008008
289,-280.74874874874877
290,-277.72972972972974
291,-292.5205205205205
292,-284.8888888888889
293,-292.3323323323323
294,-292.64864864864865
295,-274.33833833833836
296,-286.1461461461461
297,-274.6266266266266
298,-277.6976976976977
299,-285.8258258258258
300,-291.7357357357357
301,-272.5125125125125
302,-285.3493493493493
303,-275.4114114114114
304,-279.13913913913916
305,-280.2122122122122
306,-278.76676676676675
307,-275.5075075075075
308,-285.2892892892893
309,-278.53453453453454
310,-291.1911911911912
311,-283.13913913913916
312,-281.66966966966964
313,-293.47347347347346
314,-287.1951951951952
315,-290.9149149149149
316,-284.8208208208208
317,-282.6666666666667
318,-277.3653653653654
319,-281.43743743743744
320,-287.84784784784785
321,-281.9099099099099
322,-294.03003003003005
323,-293.0570570570571
324,-296.72872872872875
325,-286.0900900900901
326,-286.5785785785786
327,-285.6096096096096
328,-288.3243243243243
329,-280.5045045045045
330,-279.94794794794797
331,-282.990990990991
332,-286.6266266266266
333,-283.85985985985985
334,-280.02002002002
335,-272.7687687687688
336,-279.4914914914915
337,-283.57157157157155
338,-279.04304304304304
339,-278.5785785785786
340,-278.7307307307307
341,-290.5105105105105
342,-283.1991991991992
343,-284.12412412412414
344,-286.6306306306306
345,-286.06606606606607
346,-285.8618618618619
347,-276.42442442442444
348,-285.7097097097097
349,-292.46446446446447
350,-288.94894894894895
351,-296.8248248248248
352,-295.13513513513516
353,-283.12312312312315
354,-274.9469469469469
355,-283.6756756756757
356,-285.74174174174175
357,-285.54554554554556
358,-292.5165165165165
359,-278.7187187187187
360,-288.5765765765766
361,-285.6136136136136
362,-289.98998998998997
363,-289.4934934934935
364,-283.63963963963965
365,-293.5655655655656
366,-292.39239239239237
367,-287.53953953953953
368,-283.57957957957956
369,-287.3993993993994
370,-280.1841841841842
371,-286.3983983983984
372,-282.2942942942943
373,-290.1421421421421
374,-291.2992992992993
375,-279.57557557557556
376,-283.93593593593596
377,-281.84184184184187
378,-293.96196196196195
379,-279.86786786786786
380,-283.7437437437437
381,-284.012012012012
382,-298.3023023023023
383,-292.6086086086086
384,-289.7897897897898
385,-295.88388388388387
386,-282.47447447447445
387,-271.82382382382383
388,-288.67267267267266
389,-290.4064064064064
390,-284.4804804804805
391,-291.7957957957958
392,-291.4274274274274
393,-289.5975975975976
394,-277.25725725725727
395,-285.1211211211211
396,-287.35535535535536
397,-286.23423423423424
398,-287.7237237237237
399,-275.2832832832833
400,-296.996996996997
401,-278.6626626626627
402,-292.2282282282282
403,-286.8908908908909
404,-290.1141141141141
405,-283.8198198198198
406,-286.6146146146146
407,-289.5735735735736
408,-290.3983983983984
409,-295.7437437437437
410,-284.2202202202202
411,-289.3893893893894
412,-294.47047047047045
413,-296.5125125125125
414,-291.4994994994995
415,-290.9149149149149
416,-292.5525525525525
417,-276.7087087087087
418,-288.35635635635634
419,-286.53453453453454
420,-280.92092092092093
421,-303.1911911911912
422,-293.8338338338338
423,-285.0530530530531
424,-293.67767767767765
425,-289.3613613613614
426,-295.4834834834835
427,-277.0730730730731
428,-288.4804804804805
429,-286.03403403403405
430,-289.2972972972973
431,-289.95795795795794
432,-287.26726726726724
433,-288.012012012012
434,-291.12312312312315
435,-292.5885885885886
436,-281.25325325325326
437,-285.3493493493493
438,-290.1221221221221
439,-293.84184184184187
440,-287.83183183183183
441,-288.5925925925926
442,-281.71371371371373
443,-294.3103103103103
444,-288.2762762762763
445,-286.4144144144144
446,-281.93793793793793
447,-288.984984984985
448,-293.22922922922925
449,-279.6676676676677
450,-289.8858858858859
451,-297.1131131131131
452,-279.1911911911912
453,-290.00600600600603
454,-282.04604604604606
455,-287.3913913913914
456,-295.4234234234234
457,-289.7017017017017
458,-292.7927927927928
459,-297.24124124124126
460,-283.7877877877878
461,-283.27527527527525
462,-289.1091091091091
463,-293.65765765765764
464,-282.8868868868869
465,-287.25525525525524
466,-290.64264264264267
467,-300.37637637637636
468,-286.3703703703704
469,-283.4994994994995
470,-293.98998998998997
471,-290.25825825825825
472,-282.6186186186186
473,-296.4964964964965
474,-295.1031031031031
475,-288.07207207207205
476,-292.40840840840843
477,-297.96996996996995
478,-295.59159159159157
479,-285.98598598598596
480,-298.9349349349349
481,-285.029029029029
482,-286.1901901901902
483,-287.95195195195197
484,-282.6266266266266
485,-297.7817817817818
486,-293.0490490490491
487,-294.57057057057057
488,-285.7857857857858
489,-287.8078078078078
490,-293.3453453453453
491,-282.5865865865866
492,-280.12012012012013
493,-282.6786786786787
494,-283.59159159159157
495,-295.2952952952953
496,-286.974974974975
497,-297.5815815815816
498,-285.0970970970971
499,-299.08708708708707
500,-280.55655655655653
501,-288.15215215215215
502,-297.1011011011011
503,-290.4264264264264
504,-285.0810810810811
505,-287.8998998998999
506,-284.36436436436435
507,-286.6546546546547
508,-291.95995995996
509,-287.03103103103103
510,-291.003003003003
511,-292.42442442442444
512,-287.7477477477477
513,-291.4874874874875
514,-291.61961961961964
515,-292.3003003003003
516,-284.66466466466466
517,-288.5765765765766
518,-289.2932932932933
519,-281.6136136136136
520,-278.6666666666667
521,-283.55155155155154
522,-283.7997997997998
523,-292.2082082082082
524,-291.63163163163165
525,-301.4094094094094
526,-284.984984984985
527,-288.2322322322322
528,-293.3133133133133
529,-293.35735735735733
530,-284.6126126126126
531,-296.36836836836835
532,-294.5825825825826
533,-284.38438438438436
534,-296.44444444444446
535,-302.45845845845844
536,-293.009009009009
537,-297.7857857857858
538,-286.05405405405406
539,-281.1251251251251
540,-292.43243243243245
541,-301.66566566566564
542,-284.07607607607605
543,-290.8788788788789
544,-287.6836836836837
545,-285.76976976976977
546,-285.13713713713713
547,-297.5895895895896
548,-289.19319319319317
549,-286.46646646646644
550,-289.65765765765764
551,-291.5035035035035
552,-293.6336336336336
553,-290.3063063063063
554,-285.18518518518516
555,-294.7027027027027
556,-288.16816816816817
557,-292.96496496496496
558,-283.7517517517517
559,-291.06306306306305
560,-300.33633633633633
561,-291.8038038038038
562,-290.35435435435437
563,-294.64264264264267
564,-287.85185185185185
565,-287.66366366366367
566,-295.4554554554555
567,-290.34634634634637
568,-280.1801801801802
569,-292.35635635635634
570,-281.42542542542543
571,-287.7357357357357
572,-292.0960960960961
573,-293.8058058058058
574,-290.6546546546547
575,-290.2102102102102
576,-294.82282282282284
577,-288.012012012012
578,-288.0840840840841
579,-297.21721721721724
580,-285.4214214214214
581,-284.42842842842845
582,-296.8888888888889
583,-282.56256256256256
584,-296.72072072072075
585,-286.9229229229229
586,-293.2812812812813
587,-286.5945945945946
588,-285.8898898898899
589,-285.0810810810811
590,-287.56756756756755
591,-278.77477477477476
592,-277.21321321321324
593,-283.8998998998999
594,-293.0650650650651
595,-293.74574574574575
596,-300.07607607607605
597,-289.72172172172174
598,-290.0980980980981
599,-288.14014014014015
600,-280.7887887887888
601,-293.24524524524526
602,-277.3813813813814
603,-299.4994994994995
604,-288.7687687687688
605,-284.016016016016
606,-292.11211211211213
607,-295.58358358358356
608,-294.81881881881884
609,-294.3903903903904
610,-289.0730730730731
611,-297.0930930930931
612,-296.2202202202202
613,-285.3093093093093
614,-287.015015015015
615,-298.05005005005006
616,-291.4954954954955
617,-288.07207207207205
618,-296.66866866866866
619,-286.45845845845844
620,-288.16416416416416
621,-292.38838838838836
622,-292.5925925925926
623,-288.3043043043043
624,-294.8988988988989
625,-292.7007007007007
626,-297.52552552552555
627,-297.52552552552555
628,-283.4554554554555
629,-296.13213213213214
630,-282.24224224224224
631,-292.15615615615616
632,-299.983983983984
633,-289.77777777777777
634,-289.6976976976977
635,-292.24424424424427
636,-291.31131131131133
637,-290.9509509509509
638,-295.1991991991992
639,-294.8948948948949
640,-296.45645645645646
641,-290.83483483483485
642,-291.7437437437437
643,-284.8048048048048
644,-279.62362362362364
645,-292.38038038038036
646,-287.5275275275275
647,-294.4304304304304
648,-287.56356356356355
649,-290.0860860860861
650,-287.33933933933935
651,-289.0530530530531
652,-296.92092092092093
653,-290.45845845845844
654,-295.93593593593596
655,-280.5925925925926
656,-295.03903903903904
657,-293.94594594594594
658,-292.5965965965966
659,-297.5935935935936
660,-293.3453453453453
661,-296.66866866866866
662,-287.82382382382383
663,-286.28228228228227
664,-279.2032032032032
665,-283.1671671671672
666,-287.12712712712715
667,-286.8868868868869
668,-288.84484484484483
669,-283.5075075075075
670,-281.0850850850851
671,-290.1461461461461
672,-290.34234234234236
673,-293.1131131131131
674,-296.0
675,-288.43643643643645
676,-297.3413413413413
677,-297.3773773773774
678,-294.23823823823824
679,-288.2762762762763
680,-289.0970970970971
681,-283.05505505505505
682,-287.3033033033033
683,-283.7237237237237
684,-287.94394394394396
685,-280.63263263263264
686,-294.22222222222223
687,-298.9149149149149
688,-289.93393393393393
689,-292.68868868868867
690,-285.8978978978979
691,-288.5685685685686
692,-275.7237237237237
693,-287.94394394394396
694,-288.2762762762763
695,-293.67767767767765
696,-286.73873873873873
697,-295.5115115115115
698,-302.06206206206207
699,-283.8038038038038
700,-286.55055055055055
701,-289.9179179179179
702,-293.04104104104107
703,-290.986986986987
704,-287.5075075075075
705,-290.47847847847845
706,-292.2282282282282
707,-292.45245245245246
708,-286.47447447447445
709,-290.32232232232235
710,-285.0650650650651
711,-281.3133133133133
712,-288.8248248248248
713,-297.6856856856857
714,-284.2042042042042
715,-292.2002002002002
716,-291.1751751751752
717,-292.07207207207205
718,-295.015015015015
719,-276.84884884884883
720,-286.77077077077075
721,-285.15715715715714
722,-285.9139139139139
723,-291.56756756756755
724,-286.56256256256256
725,-286.25425425425425
726,-288.17617617617617
727,-298.55855855855856
728,-295.5035035035035
729,-280.38838838838836
730,-286.33433433433436
731,-289.5895895895896
732,-286.2142142142142
733,-285.54554554554556
734,-280.1961961961962
735,-301.17317317317315
736,-292.5165165165165
737,-293.5695695695696
738,-288.40840840840843
739,-288.24424424424427
740,-291.4874874874875
741,-290.990990990991
742,-292.3243243243243
743,-294.5025025025025
744,-286.75075075075074
745,-289.74574574574575
746,-290.57057057057057
747,-283.4394394394394
748,-285.73373373373374
749,-283.75575575575573
750,-284.5285285285285
751,-294.4264264264264
752,-286.86286286286287
753,-292.65265265265265
754,-291.955955955956
755,-292.8168168168168
756,-291.4034034034034
757,-286.4344344344344
758,-289.97797797797796
759,-290.79479479479477
760,-301.0770770770771
761,-291.7437437437437
762,-292.7167167167167
763,-294.6706706706707
764,-290.23823823823824
765,-293.3333333333333
766,-275.7957957957958
767,-294.52252252252254
768,-281.18118118118116
769,-292.2922922922923
770,-280.0800800800801
771,-289.64964964964963
772,-289.64564564564563
773,-290.5785785785786
774,-288.0
775,-298.02602602602605
776,-290.6026026026026
777,-287.5035035035035
778,-296.1881881881882
779,-293.8978978978979
780,-288.45245245245246
781,-292.7607607607608
782,-293.3133133133133
783,-287.4714714714715
784,-285.93393393393393
785,-290.1741741741742
786,-286.6466466466467
787,-293.9219219219219
788,-290.0820820820821
789,-286.00200200200203
790,-294.1981981981982
791,-286.6946946946947
792,-298.06606606606607
793,-294.04204204204206
794,-292.84884884884883
795,-285.26126126126127
796,-288.4764764764765
797,-288.0960960960961
798,-294.85485485485486
799,-290.80280280280283
800,-291.1991991991992
801,-296.4764764764765
802,-295.3833833833834
803,-296.7807807807808
804,-287.25125125125123
805,-287.05105105105105
806,-277.15715715715714
807,-296.3123123123123
808,-290.33033033033036
809,-295.05905905905905
810,-282.1261261261261
811,-290.9429429429429
812,-290.9469469469469
813,-284.0800800800801
814,-283.35135135135135
815,-294.9229229229229
816,-293.17317317317315
817,-290.982982982983
818,-303.1791791791792
819,-287.4034034034034
820,-291.5155155155155
