,0
0,-51.31658291457286
1,-50.050251256281406
2,-38.07035175879397
3,-50.17085427135678
4,-51.75879396984924
5,-52.562814070351756
6,-49.90954773869347
7,-38.814070351758794
8,-50.71356783919598
9,-50.311557788944725
10,-50.21105527638191
11,-46.25125628140704
12,-50.814070351758794
13,-51.537688442211056
14,-39.19597989949749
15,-49.4070351758794
16,-51.63819095477387
17,-49.10552763819096
18,-43.21608040201005
19,-38.231155778894475
20,-46.41206030150754
21,-50.63316582914573
22,-42.49246231155779
23,-47.71859296482412
24,-48.02010050251256
25,-49.64824120603015
26,-50.63316582914573
27,-53.5678391959799
28,-38.21105527638191
29,-49.20603015075377
30,-39.35678391959799
31,-36.68341708542714
32,-50.130653266331656
33,-49.66834170854271
34,-49.7286432160804
35,-38.33165829145729
36,-36.08040201005025
37,-36.7035175879397
38,-49.58793969849246
39,-38.391959798994975
40,-50.653266331658294
41,-39.618090452261306
42,-37.085427135678394
43,-42.07035175879397
44,-53.66834170854271
45,-46.753768844221106
46,-37.4070351758794
47,-40.120603015075375
48,-35.03517587939699
49,-38.89447236180904
50,-47.2964824120603
51,-48.64321608040201
52,-43.31658291457286
53,-50.311557788944725
54,-50.33165829145729
55,-51.11557788944724
56,-48.20100502512563
57,-51.1356783919598
58,-51.23618090452261
59,-50.994974874371856
60,-37.7286432160804
61,-40.462311557788944
62,-50.653266331658294
63,-51.07537688442211
64,-38.71356783919598
65,-39.03517587939699
66,-49.66834170854271
67,-39.41708542713568
68,-48.120603015075375
69,-50.07035175879397
70,-47.095477386934675
71,-39.618090452261306
72,-50.914572864321606
73,-39.35678391959799
74,-46.33165829145729
75,-39.095477386934675
76,-39.19597989949749
77,-45.70854271356784
78,-38.2713567839196
79,-50.63316582914573
80,-35.2964824120603
81,-38.19095477386934
82,-48.24120603015076
83,-39.47738693467337
84,-42.63316582914573
85,-38.49246231155779
86,-35.57788944723618
87,-36.58291457286432
88,-51.19597989949749
89,-48.18090452261306
90,-47.05527638190955
91,-50.57286432160804
92,-44.482412060301506
93,-39.256281407035175
94,-35.73869346733668
95,-50.231155778894475
96,-50.45226130653266
97,-36.20100502512563
98,-37.085427135678394
99,-38.050251256281406
100,-51.31658291457286
101,-50.67336683417086
102,-36.904522613065325
103,-49.12562814070352
104,-40.14070351758794
105,-43.41708542713568
106,-39.27638190954774
107,-50.51256281407035
108,-38.21105527638191
109,-38.030150753768844
110,-36.402010050251256
111,-49.42713567839196
112,-39.71859296482412
113,-39.75879396984924
114,-51.19597989949749
115,-51.39698492462311
116,-50.21105527638191
117,-51.517587939698494
118,-38.2713567839196
119,-36.120603015075375
120,-38.93467336683417
121,-37.42713567839196
122,-35.31658291457286
123,-38.25125628140704
124,-40.88442211055276
125,-39.07537688442211
126,-49.085427135678394
127,-37.98994974874372
128,-39.336683417085425
129,-38.37185929648241
130,-39.41708542713568
131,-49.4070351758794
132,-48.60301507537689
133,-38.67336683417086
134,-46.472361809045225
135,-39.71859296482412
136,-51.49748743718593
137,-39.175879396984925
138,-48.94472361809045
139,-37.4070351758794
140,-38.994974874371856
141,-37.64824120603015
142,-45.5678391959799
143,-37.688442211055275
144,-35.437185929648244
145,-37.66834170854271
146,-39.49748743718593
147,-46.35175879396985
148,-39.11557788944724
149,-38.49246231155779
150,-38.33165829145729
151,-35.879396984924625
152,-35.47738693467337
153,-38.391959798994975
154,-38.29145728643216
155,-37.78894472361809
156,-39.15577889447236
157,-43.75879396984924
158,-36.88442211055276
159,-44.80402010050251
160,-47.89949748743719
161,-38.53266331658291
162,-51.678391959798994
163,-49.46733668341709
164,-49.64824120603015
165,-39.31658291457286
166,-50.49246231155779
167,-35.57788944723618
168,-38.69346733668342
169,-51.07537688442211
170,-51.41708542713568
171,-47.65829145728643
172,-50.391959798994975
173,-37.70854271356784
174,-51.27638190954774
175,-49.869346733668344
176,-38.733668341708544
177,-37.04522613065327
178,-39.71859296482412
179,-49.447236180904525
180,-37.98994974874372
181,-39.517587939698494
182,-48.402010050251256
183,-50.69346733668342
184,-48.984924623115575
185,-48.96482412060301
186,-51.175879396984925
187,-39.1356783919598
188,-50.63316582914573
189,-36.0
190,-37.48743718592965
191,-51.11557788944724
192,-37.14572864321608
193,-40.1608040201005
194,-51.2964824120603
195,-51.2964824120603
196,-51.93969849246231
197,-36.92462311557789
198,-35.63819095477387
199,-50.472361809045225
